Year,Month,Day,date_base
2008,8,31,2008-08-31
2008,9,1,2008-09-01
2008,9,2,2008-09-02
2008,9,28,2008-09-28
2008,9,30,2008-09-30
2008,10,25,2008-10-25
2008,10,27,2008-10-27
2008,11,24,2008-11-24
2008,11,27,2008-11-27
2008,11,28,2008-11-28
2008,11,29,2008-11-29
2008,11,30,2008-11-30
2008,12,1,2008-12-01
2008,12,22,2008-12-22
2008,12,28,2008-12-28
2009,1,21,2009-01-21
2009,1,22,2009-01-22
2009,1,23,2009-01-23
2009,1,24,2009-01-24
2009,1,25,2009-01-25
2009,1,26,2009-01-26
2009,1,27,2009-01-27
2009,1,28,2009-01-28
2009,2,21,2009-02-21
2009,2,22,2009-02-22
2009,2,23,2009-02-23
2009,2,24,2009-02-24
2009,3,21,2009-03-21
2009,3,22,2009-03-22
2009,3,23,2009-03-23
2009,3,28,2009-03-28
2009,4,21,2009-04-21
2009,4,22,2009-04-22
2009,4,23,2009-04-23
2009,4,24,2009-04-24
2009,5,23,2009-05-23
2009,5,24,2009-05-24
2009,5,25,2009-05-25
2009,5,26,2009-05-26
2009,6,22,2009-06-22
2009,6,23,2009-06-23
2009,6,24,2009-06-24
2009,7,22,2009-07-22
2009,7,23,2009-07-23
2009,7,24,2009-07-24
2009,8,16,2009-08-16
2009,8,17,2009-08-17
2009,8,18,2009-08-18
2009,8,19,2009-08-19
